G_1MHz,B_1MHz,G_500kHz,B_500MHz,G_100kHz,B_100MHz,G_50kHz,B_50MHz,G_10kHz,B_10MHz,label
0.0005474921304176179,-6.560364004012398e-06,0.0002794194861536874,-3.2558386657739812e-06,5.6022431454295244e-05,-6.548414637348304e-07,3.233532380613327e-05,-3.818732043756862e-07,8.253449516429656e-06,-1.040191049711238e-07,1
0.0005486786485883549,-6.555004216001228e-06,0.0002786543474589055,-3.2622716214900496e-06,5.701757039118509e-05,-6.54162708907681e-07,3.1390164940367594e-05,-3.534980795318045e-07,8.22191433475082e-06,-1.0410612549163155e-07,1
0.0005481748929345449,-6.5399673192582356e-06,0.0002830270586186672,-3.3153576270181284e-06,6.086041810382292e-05,-6.922835910955093e-07,3.2186956746679657e-05,-3.8539911510929956e-07,8.242448924681178e-06,-1.0349298266752066e-07,1
0.0005470789683787431,-6.52416648008627e-06,0.0002840746726414751,-3.3566526966942167e-06,6.34606803179523e-05,-7.231397651884724e-07,3.160327329108956e-05,-3.711332987525904e-07,8.22887394888438e-06,-1.0291467803559095e-07,1
0.0005474023269715034,-6.558124464288113e-06,0.0002819286531518142,-3.29885295999693e-06,5.393828854875238e-05,-6.304236841829361e-07,3.182165991952364e-05,-3.619509009177651e-07,8.219626673985329e-06,-1.030888592169309e-07,1
0.0005498820149173144,-6.563006581478624e-06,0.0002805745397311172,-3.278601455237754e-06,6.226584723307737e-05,-7.215102769232554e-07,3.216537193026454e-05,-3.7527761228263534e-07,8.222861397247863e-06,-1.0339673526784843e-07,1
0.0005481996771923355,-6.552287335423201e-06,0.0002800548521871281,-3.2805735337296194e-06,6.325404689960763e-05,-7.281790406306507e-07,3.2349294995869994e-05,-3.8388447610316105e-07,8.236206479033936e-06,-1.0344750974648285e-07,1
0.0005491597829258664,-6.5625309845588105e-06,0.0002791754760802327,-3.255807370814348e-06,6.341005406118506e-05,-7.455161724810452e-07,3.191074913422278e-05,-3.6452572291917383e-07,8.195784073886032e-06,-1.0388106757254945e-07,1
0.0005491176625716321,-6.569518625317047e-06,0.00028039965469840397,-3.2872743568796907e-06,5.5708379384908704e-05,-6.508159259311526e-07,3.1055004135217274e-05,-3.6462766804785436e-07,8.264665397206114e-06,-1.0399854718848228e-07,1
0.0005486697453845162,-6.538302511418089e-06,0.0002780708647918682,-3.251397828533393e-06,6.123456266873042e-05,-7.031007914656708e-07,3.182598807095503e-05,-3.668853792139557e-07,8.208294181591078e-06,-1.0358752368064372e-07,1
0.0005489018332824421,-6.570265594474408e-06,0.0002812186155717009,-3.266236120788565e-06,6.211888200585392e-05,-7.089631493975838e-07,3.136256377415981e-05,-3.646781732603766e-07,8.268440866333897e-06,-1.040839742380399e-07,1
0.000547761146503108,-6.561230250517203e-06,0.00028234111708209215,-3.3061064269773793e-06,5.8890226435320764e-05,-6.881324770217548e-07,3.1734338273173116e-05,-3.7275702037766155e-07,8.216327732491411e-06,-1.0323000692841315e-07,1
0.0005483641294428045,-6.562446005157938e-06,0.00028360085585584535,-3.316801436840733e-06,6.009793792069793e-05,-6.920977576476248e-07,3.1377789276035826e-05,-3.695806013795151e-07,8.245778796829768e-06,-1.0384216239731792e-07,1
0.0005489214301288899,-6.563611328357109e-06,0.000282302047503237,-3.2812619982964656e-06,6.183121904303542e-05,-7.182884488818338e-07,3.243287997294279e-05,-3.776802987543742e-07,8.204869784744379e-06,-1.0419252476290906e-07,1
0.0005486404190292521,-6.565876246284954e-06,0.0002804676099973855,-3.284035817027471e-06,5.684739430346564e-05,-6.740718078405752e-07,3.1868553613518113e-05,-3.759493587388612e-07,8.223182005666793e-06,-1.0314557088747457e-07,1
0.0005487364199243147,-6.571187913973682e-06,0.0002823010671745217,-3.329979295021472e-06,5.586858151664616e-05,-6.52635737307385e-07,3.1350325286854266e-05,-3.7340713985541895e-07,8.21943962926189e-06,-1.0388582084631952e-07,1
0.0005477271066930832,-6.5156743237143675e-06,0.0002793528778791464,-3.2800976300540655e-06,5.611703543263472e-05,-6.434076743181113e-07,3.177542985954166e-05,-3.712575693705075e-07,8.248845772663076e-06,-1.0333583402644618e-07,1
0.0005492063422563839,-6.598402990847841e-06,0.0002785948121149951,-3.2726009650062674e-06,5.680621454525778e-05,-6.604710547755686e-07,3.1745588801459976e-05,-3.8226954834854045e-07,8.240375776224845e-06,-1.0351880089829179e-07,1
0.0005487543879035649,-6.571279448760511e-06,0.00028473950518024025,-3.3141126432992834e-06,5.799454440663474e-05,-6.641202585378694e-07,3.1879082992123743e-05,-3.8408781899286033e-07,8.220381449605735e-06,-1.035046700866946e-07,1
0.0005497741035398896,-6.56909945229586e-06,0.0002794691126214039,-3.2807725740465193e-06,6.628562532570543e-05,-7.863416197757778e-07,3.127523557921366e-05,-3.6446488394318045e-07,8.211679305244032e-06,-1.0356075582270936e-07,1
0.0005512648717464222,-6.590525289682605e-06,0.0002845235602512314,-3.3349225354649408e-06,5.406269878292184e-05,-6.223915349690467e-07,3.159805891894898e-05,-3.6689716553155777e-07,8.15786314110029e-06,-1.0347616890618991e-07,1
0.0005484576041588822,-6.569156298131542e-06,0.0002802109658636348,-3.2902937196453526e-06,5.833147946411045e-05,-6.786398777908289e-07,3.1695482118447745e-05,-3.616199233215231e-07,8.220019860054286e-06,-1.0347259943287932e-07,1
0.0005482741526578869,-6.5585522087265015e-06,0.00027889314827077223,-3.2731701793242364e-06,5.73179946866455e-05,-6.677718953372766e-07,3.146628109523102e-05,-3.6862125241162394e-07,8.20263383459093e-06,-1.0284941110514097e-07,1
0.0005496763909358091,-6.549005467696672e-06,0.0002807537110323491,-3.267441149495596e-06,5.571561570305521e-05,-6.477783798542118e-07,3.148712962826984e-05,-3.6734965443319815e-07,8.2614056614906e-06,-1.043555230843179e-07,1
0.0005470533576860312,-6.574041058177625e-06,0.0002829409283319721,-3.3133988922130035e-06,5.475418308249381e-05,-6.185860202334938e-07,3.1630498890497206e-05,-3.7648465394484295e-07,8.25610904828955e-06,-1.0376542097644426e-07,1
0.0005502998400871171,-6.5828607158226435e-06,0.0002818073236597293,-3.288994811884966e-06,5.794212122077492e-05,-6.591120507936709e-07,3.1126872613030004e-05,-3.5606596226684116e-07,8.233422447378403e-06,-1.0378979124541607e-07,1
0.000548987450210943,-6.582786264262278e-06,0.0002812815486202148,-3.2938315378053255e-06,5.788507635076988e-05,-6.673888566914215e-07,3.1735614366179966e-05,-3.7080218459970403e-07,8.253016512060706e-06,-1.0385392734519223e-07,1
0.0005491910840005526,-6.5615877138851035e-06,0.00028115309905004055,-3.2792057246419014e-06,6.153409426909307e-05,-7.170063097248972e-07,3.1605377490512834e-05,-3.7745296507610675e-07,8.19089814295384e-06,-1.0214785379373723e-07,1
0.0005476927854402679,-6.5744032683114935e-06,0.00028118613347118647,-3.3140390642436564e-06,5.9251655359136885e-05,-6.860879152085541e-07,3.196227748558393e-05,-3.705343289749691e-07,8.234691293369515e-06,-1.0394482877884054e-07,1
0.0005477480807371218,-6.557799294484849e-06,0.0002810359918533179,-3.278432452258127e-06,6.250502354451483e-05,-7.157280325305503e-07,3.165460136613581e-05,-3.667651244355091e-07,8.193277185979877e-06,-1.034606514451406e-07,1
0.000548892251766938,-6.575953200000546e-06,0.0002805139047262708,-3.27172681659335e-06,6.199017440779372e-05,-7.060910161529427e-07,3.111174359246467e-05,-3.5627301967477947e-07,8.190871004980846e-06,-1.0360700255775352e-07,1
0.0005486978738021085,-6.550843831808106e-06,0.00028282435505838676,-3.313848996725806e-06,6.265778463333829e-05,-7.229167409551989e-07,3.196212558547381e-05,-3.9324980672359705e-07,8.224176736145614e-06,-1.0448282463219222e-07,1
0.0005498032803545954,-6.595218932819615e-06,0.00028124993631461505,-3.277564828008308e-06,5.9916395614962915e-05,-6.906571809446444e-07,3.215564038212262e-05,-3.726659962146183e-07,8.21357775673707e-06,-1.0280830850575409e-07,1
0.0005507616800351335,-6.5994731908288315e-06,0.00027842670878509276,-3.254643780392954e-06,5.591875662361927e-05,-6.53316714205388e-07,3.1332646652980394e-05,-3.5970060139943997e-07,8.22647612419999e-06,-1.0384536501556425e-07,1
0.0005493311525618114,-6.590813849293083e-06,0.0002814811418419421,-3.2840735335031923e-06,5.0040433984508224e-05,-5.779369054467892e-07,3.176986031719461e-05,-3.6783762178536253e-07,8.212721125648787e-06,-1.0361654016760314e-07,1
0.0005488912331231708,-6.5588847566922e-06,0.0002815768134035381,-3.3202012296099934e-06,5.87128604718332e-05,-6.868140433185835e-07,3.1675406731289515e-05,-3.6693073955947235e-07,8.21399926400771e-06,-1.0320813792387158e-07,1
0.0005479559662458434,-6.549728695720683e-06,0.0002791269299471623,-3.2815547102575796e-06,6.447707653749901e-05,-7.419519449286401e-07,3.172975464020819e-05,-3.7078526853215405e-07,8.228042712170408e-06,-1.0380356379900268e-07,1
0.0005479797707952632,-6.588500476313161e-06,0.00028505444512705585,-3.337896067225458e-06,5.525837333473492e-05,-6.388149356474525e-07,3.168178110039051e-05,-3.774044708854966e-07,8.213493636184025e-06,-1.0367279881276731e-07,1
0.0005493659830562821,-6.558617467170032e-06,0.0002789625957243967,-3.2614222166202e-06,6.043535534355795e-05,-6.977848924967184e-07,3.138771863267739e-05,-3.666040048000531e-07,8.185445195338015e-06,-1.0244427671592296e-07,1
0.0005492915430985098,-6.57044869086345e-06,0.00028188261966875366,-3.316390946665397e-06,6.176519972448982e-05,-7.089345962967219e-07,3.2039323364507225e-05,-3.70199194885148e-07,8.208691704527906e-06,-1.0348190939119711e-07,1
0.0005499440382971903,-6.5958764290907754e-06,0.0002805935472781088,-3.29285498272961e-06,5.864348758628493e-05,-6.862152997496756e-07,3.210746491502538e-05,-3.676478874002784e-07,8.21764413260123e-06,-1.0299981850250756e-07,1
0.0005502696905199582,-6.585379110705456e-06,0.0002807025889432126,-3.2955827777429766e-06,6.403648163123501e-05,-7.346926716310695e-07,3.1679593695487946e-05,-3.7208225794745e-07,8.22229405171681e-06,-1.0319357397701022e-07,1
0.0005505206889673618,-6.59510356713281e-06,0.0002793438265672265,-3.2715097674440175e-06,5.860069546554334e-05,-6.750018329299549e-07,3.23441560628183e-05,-3.8002493079750807e-07,8.24871989310221e-06,-1.0295419594744049e-07,1
0.0005473303024349822,-6.543369790200227e-06,0.00028129148420646044,-3.268660926042726e-06,5.9676872823833665e-05,-6.916240425840552e-07,3.225068343389145e-05,-3.890439514676189e-07,8.249052364642833e-06,-1.0362076312170758e-07,1
0.0005494726617577472,-6.579603662274168e-06,0.0002819578896779086,-3.3007791411083942e-06,5.902571232699018e-05,-6.727873411030718e-07,3.100845166929286e-05,-3.646491631576438e-07,8.217696052784698e-06,-1.0336474777562142e-07,1
0.0005494103723014013,-6.555761728430701e-06,0.0002787771188339199,-3.2570842432297524e-06,5.8065190073610084e-05,-6.706306839298482e-07,3.142289968734818e-05,-3.682898754066387e-07,8.25702523774055e-06,-1.0424826838035688e-07,1
0.0005501228621154664,-6.6052675170528505e-06,0.0002847301523132712,-3.3451966460965483e-06,5.913237991554971e-05,-6.793707218665237e-07,3.1716284253238636e-05,-3.656634790761849e-07,8.242972426163596e-06,-1.0378773807981866e-07,1
0.0005483498391382085,-6.559429217297565e-06,0.0002808251721552316,-3.30506213682648e-06,5.930996597717375e-05,-6.844163252077075e-07,3.124202017297169e-05,-3.6485392008689914e-07,8.195605736897744e-06,-1.024082039433546e-07,1
0.0005504398507452647,-6.5766713402590674e-06,0.000283052964352571,-3.305087167616418e-06,5.839111039689742e-05,-6.76845108844823e-07,3.2118788912948945e-05,-3.7423182750596575e-07,8.181062409787843e-06,-1.0344973733460127e-07,1
0.000549213178771756,-6.580594080269415e-06,0.00028209388219838343,-3.311452075085962e-06,5.795201982056057e-05,-6.650089064815345e-07,3.183453024308948e-05,-3.713593231570562e-07,8.263959613437957e-06,-1.0399041502255885e-07,1
0.0005498102797290044,-6.572173288956022e-06,0.00027764578897844305,-3.2789116649354806e-06,6.319843154409117e-05,-7.309646688414248e-07,3.147378600479687e-05,-3.634371716852321e-07,8.187661610222127e-06,-1.0334095146500615e-07,1
0.0005486903024106905,-6.546789436332857e-06,0.0002809303893883951,-3.2801519953711376e-06,6.481437454475835e-05,-7.656670315780694e-07,3.137249815545508e-05,-3.718295029685342e-07,8.2300748268514e-06,-1.0412328264248316e-07,1
0.000549473952291991,-6.555968660469916e-06,0.00028054310584470026,-3.3122768926774943e-06,5.9582742285640926e-05,-6.909813136290053e-07,3.15157690820101e-05,-3.690989118876938e-07,8.225517904496153e-06,-1.0430280270910667e-07,1
0.0005500597964830487,-6.591117720829117e-06,0.000283766341859844,-3.3103828822570127e-06,6.4825810777688e-05,-7.640577258820942e-07,3.272356655806002e-05,-3.8285798861303807e-07,8.227795066932776e-06,-1.0461288424346526e-07,1
0.0005490521768118714,-6.567259811434855e-06,0.0002820409590469907,-3.3038639731725015e-06,5.906297367795867e-05,-6.884691387431341e-07,3.209022159300718e-05,-3.658140469207321e-07,8.200221627195414e-06,-1.0321205252014644e-07,1
0.0005486539937875115,-6.562853501960625e-06,0.00028054101925315553,-3.285764086878202e-06,5.6262440365934044e-05,-6.597143145084898e-07,3.152937974856193e-05,-3.733948004177373e-07,8.262594047614898e-06,-1.0419497474769444e-07,1
0.0005489693262712255,-6.583366453910246e-06,0.0002802862451366836,-3.283131270924114e-06,5.732150661454535e-05,-6.580009826483656e-07,3.185015168645794e-05,-3.771495966720228e-07,8.214631482842364e-06,-1.0288066511117001e-07,1
0.0005487638761403757,-6.550512340267145e-06,0.00027986527601138716,-3.265102535889887e-06,6.326445218592082e-05,-7.349957913993114e-07,3.076215497663289e-05,-3.5595400101135825e-07,8.247122036618682e-06,-1.043886807473017e-07,1
0.0005495818496938547,-6.565724730482958e-06,0.00028084437349363824,-3.280329777097084e-06,6.252850814857551e-05,-7.26735363343484e-07,3.135892458774331e-05,-3.7465189173624693e-07,8.211984154020398e-06,-1.0279353501141559e-07,1
0.0005493443887629599,-6.567649064618352e-06,0.0002800095031625774,-3.269399582619433e-06,5.824306316207698e-05,-6.700518496570924e-07,3.1498665881359006e-05,-3.612093248189648e-07,8.189601724664108e-06,-1.0220101277178775e-07,1
0.0005496150690628539,-6.577498298312256e-06,0.00028012695190554534,-3.2861624916923567e-06,6.080107596533031e-05,-6.97485376532557e-07,3.2148987915537724e-05,-3.7730721136102416e-07,8.225183811214047e-06,-1.0399121561054278e-07,1
0.0005493415466480631,-6.572340567855189e-06,0.0002838456001962096,-3.3298342670171996e-06,6.049292555933729e-05,-6.877226790902477e-07,3.17259655214075e-05,-3.7072928059712114e-07,8.216523489872013e-06,-1.0318749244101533e-07,1
0.0005497382087614372,-6.57370881860929e-06,0.0002807980214947864,-3.323896651846744e-06,5.7354479909478104e-05,-6.793209360388849e-07,3.1619681424723346e-05,-3.62891525941321e-07,8.215696815501545e-06,-1.0384399947259e-07,1
0.0005505383576705898,-6.586390230513394e-06,0.00027962283425081924,-3.296531050928817e-06,6.302423457351025e-05,-7.215243069989178e-07,3.128329135658634e-05,-3.6850792170435293e-07,8.243743908845806e-06,-1.0400731167030561e-07,1
0.0005488727619089597,-6.565834148459754e-06,0.0002799085462918211,-3.2706522419804264e-06,6.080059879821853e-05,-7.186284252419173e-07,3.1376005978872256e-05,-3.796615726323374e-07,8.1903163158086e-06,-1.0229798197228923e-07,1
0.0005493785579019762,-6.563448420942663e-06,0.0002814472053843409,-3.301617661500818e-06,6.229648869603762e-05,-7.181021715535489e-07,3.1318914152933345e-05,-3.681403547258321e-07,8.185849881686027e-06,-1.0169744728843216e-07,1
0.0005504541727326455,-6.575011515087512e-06,0.00028216559984724844,-3.3206057091734968e-06,6.324459464477847e-05,-7.251262003861924e-07,3.207269824074313e-05,-3.7353593037529717e-07,8.208959517983094e-06,-1.0280038619636944e-07,1
0.0005486239014844472,-6.568121667303805e-06,0.0002826765703973324,-3.311429156112617e-06,6.251612719811293e-05,-7.315045783307672e-07,3.117692112168646e-05,-3.689178286080008e-07,8.22348188367538e-06,-1.0355033219755018e-07,1
0.0005498207067444511,-6.566372451872773e-06,0.000281070099435894,-3.2910514857836065e-06,5.7093546444184746e-05,-6.566614561609545e-07,3.2253741523439336e-05,-3.793814145226406e-07,8.235902597623924e-06,-1.0307420213976243e-07,1
0.0005489824102644042,-6.552701900636166e-06,0.00027903951573501174,-3.269146612741354e-06,5.9186544128009155e-05,-6.920272109333114e-07,3.192034515879949e-05,-3.7494859427701475e-07,8.239724100820498e-06,-1.0341186686754609e-07,1
0.0005483920120885663,-6.557261578370714e-06,0.0002840470593965221,-3.3406886426823987e-06,6.260180117877067e-05,-7.229490157951837e-07,3.154710759833173e-05,-3.6765326732475935e-07,8.18574178468952e-06,-1.0232689172494669e-07,1
0.0005489150292894108,-6.56564565089255e-06,0.00028192850017162046,-3.2890088501488977e-06,6.018433052802736e-05,-7.02837996602866e-07,3.1770122827590095e-05,-3.8249927860019857e-07,8.192538924643399e-06,-1.0323917585334218e-07,1
0.0005480345408989882,-6.588502959917414e-06,0.00028271180968239285,-3.306277036589245e-06,6.56949434871498e-05,-7.521424965602225e-07,3.210505348282451e-05,-3.799629003188479e-07,8.226654142459588e-06,-1.0362845310099363e-07,1
0.0005501075083773471,-6.572362586390978e-06,0.00027959569087964776,-3.282158053118457e-06,6.204084464796818e-05,-7.280473605134512e-07,3.203237795741864e-05,-3.726426500973995e-07,8.261950545963709e-06,-1.0377866329469121e-07,1
0.0005486764692334527,-6.577992798231932e-06,0.0002817565197093465,-3.3050363120963793e-06,5.270751833182811e-05,-6.155872928331323e-07,3.2320843636073966e-05,-3.7875478154909134e-07,8.291310780083118e-06,-1.0512368340120295e-07,1
0.0005496257623698363,-6.5866566875078234e-06,0.0002816205572180268,-3.3023187953283763e-06,5.9683552511523144e-05,-6.837673646943696e-07,3.1508556686423545e-05,-3.652082376365935e-07,8.250347684536549e-06,-1.046568844670517e-07,1
0.0005497888081896704,-6.5618929533003324e-06,0.0002812091996291614,-3.2880198363877506e-06,5.691881477345124e-05,-6.851679422466684e-07,3.1233600285152116e-05,-3.628504323531453e-07,8.228203235095104e-06,-1.0389233441478066e-07,1
0.0005495330929161775,-6.585907142317468e-06,0.00028014031600017087,-3.2963870083872874e-06,5.9596215543971563e-05,-6.965442739891632e-07,3.1751137758607095e-05,-3.6865625690939765e-07,8.192866952009909e-06,-1.0224451289695293e-07,1
